20120000,Thai My,Dung,6/7/2002,Nam,507534
20120001,Dinh Uyeng,Huong,1/5/2002,Nu,252056
20120002,Vu Ngoc,Tuyet,10/11/2002,Nu,179209
20120003,Truong Ngoc,Cam,20/8/2002,Nu,380315
20120004,Ngo Cao Ngoc,Bich,22/3/2002,Nu,700117
20120005,Nguyen Thi,Hien,30/1/2002,Nu,472088
20120006,Doan Uyen,Hue,26/9/2002,Nu,411499
20120007,To Quach,Trung,16/6/2002,Nam,820409
20120008,Vu Ngoc,Quynh,10/4/2002,Nu,103121
20120009,Ly Yen,Oanh,27/9/2002,Nu,148463
20120010,Pham Hoai,Chi,20/8/2002,Nam,636130
20120011,Duong Dinh,Hoang,14/5/2002,Nam,947274
20120012,Doan Uyen,Diem,4/4/2002,Nu,509476
20120013,Do Thi My,Tuyet,3/3/2002,Nu,165618
20120014,Mai Thua,Khanh,24/4/2002,Nam,524963
20120015,Luong Khuc,Quang,13/8/2002,Nam,631632
20120016,Dao Anh,Van,13/11/2002,Nu,859234
20120017,Truong Ngoc,Hue,23/10/2002,Nu,358525
20120018,Lam Vu,Thien,3/7/2002,Nam,137503
20120019,Bui Xuan,Bich,7/11/2002,Nu,323573
20120020,Nguyen Thi,Bich,23/12/2002,Nu,144033
20120023,Ho Quy,Hung,1/1/2002,Nam,114467
20120024,Dinh Van,Lam,14/4/2002,Nam,235301
20120025,Tran Thi,Ha,3/11/2002,Nu,868446
20120026,Vu Ngoc,Hoai,23/9/2002,Nu,965866
20120027,Truong Thanh,Truong,3/11/2002,Nam,584159
20120028,Phan Phuong,Yen,21/11/2002,Nu,884357
20120029,Ho Quy,Ha,15/11/2002,Nam,154640
