17127002,Thai Tran,Hue,28/10/1999,Nu,527678
17127003,Pham Kieu,Tuyet,28/2/1999,Nu,242767
17127004,Vu Tuan,Khanh,30/8/1999,Nam,351543
17127005,Cao Anh,Tuyet,2/5/1999,Nu,685707
17127006,Cao Vu,Chi,8/9/1999,Nam,334382                                                                                
17127004,Vu Tuan,Khanh,30/8/1999,Nam,351543
17127005,Cao Anh,Tuyet,2/5/1999,Nu,685707
17127006,Cao Vu,Chi,8/9/1999,Nam,334382
17127007,Luu Ngoc,Bich,2/5/1999,Nu,899059
17127008,Ha Ho,Diem,2/7/1999,Nu,617187
17127009,Hua Vinh,Ha,21/2/1999,Nam,192399
17127010,Tu Quang,Binh,23/1/1999,Nam,981344
17127011,Cao Vu,Tuan,13/5/1999,Nam,885552
17127012,Lam My,Uyen,8/4/1999,Nu,634339
17127013,Quach Ngoc,Thuy,6/8/1999,Nu,684779
17127014,Dinh Van,Dat,16/1/1999,Nam,113151
17127015,Trinh Vy,Lan,27/2/1999,Nu,827820
17127016,Huynh Van,Tuan,5/11/1999,Nam,199633
17127017,Huynh Thi,Hue,19/10/1999,Nu,227485
17127018,Lam My,Uyen,28/12/1999,Nu,776034
17127019,Luu Quang,Thien,15/11/1999,Nam,939039
17127020,Tu Tu,Cam,22/4/1999,Nu,618273
17127021,Dao Anh,Dao,3/3/1999,Nu,380673
17127022,Dinh Uyeng,Trang,9/10/1999,Nu,994366
17127023,Nguyen Thi,Van,28/5/1999,Nu,125921
17127024,Thai Tran,Hoai,6/1/1999,Nu,873200
17127025,Tu Quang,Khanh,11/8/1999,Nam,780673
17127026,Luu Ngoc,Hien,3/3/1999,Nu,636336
17127027,Cao Vu,Tien,1/3/1999,Nam,340664
17127028,Doan Uyen,Van,20/3/1999,Nu,451079
17127029,Luu Quang,Phong,4/12/1999,Nam,439408
