22126001,Dao Anh,Uyen,27/3/2004,Nu,502638
22126002,Dao Cao,Phong,13/7/2004,Nam,461376
22126003,Lam Vu,Quang,27/12/2004,Nam,860370
22126004,Tran Thi,Hoai,22/8/2004,Nu,485956
22126005,Vo Thi,Hue,26/4/2004,Nu,827529
22126006,To Quach,Nghia,22/3/2004,Nam,897381
22126007,Huynh Van,Hung,1/8/2004,Nam,986691
22126008,Hua Vinh,Huy,19/4/2004,Nam,143461
22126009,Truong Ngoc,Hien,9/5/2004,Nu,716441
22126010,Dinh Uyeng,Nhi,18/6/2004,Nu,711042
22126011,Luu Quang,Long,27/11/2004,Nam,672872
22126012,Tran Thi,Huong,11/11/2004,Nu,988256
22126013,Ha Giang,Vinh,11/7/2004,Nam,425636
22126014,Doan Uyen,Huong,19/1/2004,Nu,360610
22126015,Ha Van,Truong,21/12/2004,Nam,985727
22126016,Luu Ngoc,Nhi,6/12/2004,Nu,941146
22126017,Vo Cao,Tuan,21/11/2004,Nam,947373
22126018,Dang Kieu,Ly,26/11/2004,Nu,623433
22126019,Doan Uyen,My,17/2/2004,Nu,356804
22126020,Ha Ho,Hue,30/8/2004,Nu,243067
22126021,Ho Xuan,Oanh,18/8/2004,Nu,189925
22126022,Huynh Van,Chi,23/1/2004,Nam,705074
22126023,Ly Van,Huy,23/6/2004,Nam,439142
22126024,Vo Cao,Thanh,5/1/2004,Nam,519424
22126025,Nguyen Thi,Uyen,30/9/2004,Nu,406748
22126026,Ho Xuan,Nhi,23/2/2004,Nu,235940
22126027,Tran Minh,Quang,27/1/2004,Nam,211930
22126028,Duong Dinh,Tuan,18/1/2004,Nam,540789
22126029,Ha Van,Quan,12/3/2004,Nam,493570
22126030,Huynh Thi,Hue,8/10/2004,Nu,399923
