21126001,Ngo,Vu,12/12/2003,Nam,150373
21126002,Cao Vu,Nghia,19/4/2003,Nam,739546
21126003,Chau Thanh,Tuan,25/3/2003,Nam,955111
21126004,Truong Thanh,Thanh,14/7/2003,Nam,540547
21126005,Huynh Thi,Nhi,27/3/2003,Nu,277200
21126006,Chau Thanh,Binh,1/5/2003,Nam,239676
21126007,Thai My,Lam,12/2/2003,Nam,934606
21126008,Phung Thi,Tuyet,4/9/2003,Nu,703774
21126009,Ha Ho,Cam,13/4/2003,Nu,978372
21126010,Doan Thanh,Dung,16/11/2003,Nam,165559
21126011,Ha Giang,Ha,22/6/2003,Nam,421882
21126012,Dao Anh,Van,11/9/2003,Nu,275826
21126013,Vu Ngoc,Trang,26/1/2003,Nu,401650
21126014,Hoang Minh,Quan,5/10/2003,Nam,398239
21126015,Ho Quy,Long,24/9/2003,Nam,670548
21126016,Trinh Thanh,Long,26/4/2003,Nam,835168
21126017,Chau Thanh,Tuyet,22/4/2003,Nu,123343
21126018,Mai Thua,Kien,26/7/2003,Nam,691457
21126019,Thai Tran,Lan,22/9/2003,Nu,203004
21126020,Duong Tran,Trang,12/2/2003,Nu,378869
21126021,Lam My,Dao,17/9/2003,Nu,717669
21126022,Ha Van,Vinh,9/6/2003,Nam,790457
21126023,Chau Thanh,Tuan,17/8/2003,Nam,641194
21126024,Lam My,Mai,20/11/2003,Nu,286225
