17120001,Phan Chau,Ha,19/6/1999,Nam,932511
17120002,Phan Chau,Son,5/1/1999,Nam,187068
17120003,Truong Ngoc,Oanh,20/5/1999,Nu,174000
17120004,Ly Van,Hung,23/5/1999,Nam,301999
17120005,Vo Cao,Chi,26/9/1999,Nam,966832
17120006,Pham Hoai,Chi,24/11/1999,Nam,132282
17120007,Trinh Vy,Hanh,28/3/1999,Nu,905210
17120008,Do Hung,Ha,12/3/1999,Nam,236111
17120009,Dinh Uyeng,Hien,10/7/1999,Nu,399689
17120010,Quach Ngoc,Hanh,27/10/1999,Nu,722311
17120011,Dang Kieu,Anh,4/7/1999,Nu,910278
17120012,Dinh Uyeng,Trang,29/10/1999,Nu,777500
17120013,Truong Ngoc,Hoai,12/11/1999,Nu,826364
17120014,Cao Anh,Hanh,9/1/1999,Nu,960665
17120015,Trinh Thanh,Nam,9/1/1999,Nam,346626
17120016,Quach Ngoc,Thuy,7/7/1999,Nu,838260
17120017,Ha Ho,Tuyet,12/5/1999,Nu,338126
17120018,Dinh Uyeng,Huong,19/4/1999,Nu,819723
17120019,Tran Thi,Hanh,10/5/1999,Nu,958767
17120020,Pham Hoai,Tuan,20/5/1999,Nam,455524
17120021,Lam Vu,Dat,22/4/1999,Nam,421244
17120022,Ho Quy,Huy,16/11/1999,Nam,629897
17120023,Phan Chau,Phong,16/8/1999,Nam,606488
17120024,Phan Chau,Tung,8/10/1999,Nam,130541
17120025,Luong Khuc,Khanh,23/2/1999,Nam,999489
17120026,Ly Yen,Tuyet,17/8/1999,Nu,547674
17120027,Luong Gia,Uyen,19/11/1999,Nu,174847
17120028,Truong Ngoc,Ngoc,28/6/1999,Nu,335704
17120029,Lam Vu,Phong,24/10/1999,Nam,634821
17120030,Ha Giang,Khanh,14/2/1999,Nam,829475
17125004,To Quach,Khanh,12/3/1999,Nam,561893
17125005,Phan Phuong,Diem,5/7/1999,Nu,791131
17125006,Bui Xuan,Quang,26/10/1999,Nam,246940                              
17125004,To Quach,Khanh,12/3/1999,Nam,561893
17125005,Phan Phuong,Diem,5/7/1999,Nu,791131
17125006,Bui Xuan,Quang,26/10/1999,Nam,246940
17125007,Hoang Minh,Binh,27/12/1999,Nam,196840
17125008,Truong Ngoc,Tuyet,22/3/1999,Nu,923890
17125009,Tu Tu,Phuong,22/6/1999,Nu,522399
17125010,Vo Thi,Hoai,3/6/1999,Nu,662938
17125011,Hua My My,Oanh,11/6/1999,Nu,403486
17125012,Ha Thi,Dao,6/2/1999,Nu,527312
17125013,Dinh Uyeng,Linh,15/1/1999,Nu,112955
17125014,Pham Hoai,Trung,19/8/1999,Nam,347657
17125015,Tu Tu,Dao,19/11/1999,Nu,121342
17125016,Tran Thi,Nhi,28/10/1999,Nu,870992
17125017,Tran Minh,Nghia,20/7/1999,Nam,911457
17125018,Duong Dinh,Nghia,27/2/1999,Nam,483526
17125019,Huynh Van,Ha,3/1/1999,Nam,315356
17125020,To Huynh,Trang,21/11/1999,Nu,211521
17125021,Tu Tu,Bich,7/1/1999,Nu,552184
17125022,Ho Xuan,Bich,10/4/1999,Nu,164199
17125023,Ha Van,Hung,14/2/1999,Nam,150025
17125024,Phung Thi,My,17/7/1999,Nu,976045
17125025,Luu Quang,Vu,6/1/1999,Nam,268261
